,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,centroid,lon,lat
0,39,131,01074078,0500000US39131,39131,Pike,06,1140324458,9567612,"POLYGON ((-83.35353099999999 39.197585, -82.78589099999999 39.168769, -82.80709 38.948073, -83.04361999999999 38.956939, -83.212107 38.960148, -83.27081699999999 39.015791, -83.314589 39.052195, -83.385637 39.055197, -83.35353099999999 39.197585))",POINT (-83.06769584018872 39.07634000872211),-83.06769584018872,39.07634000872211
1,46,003,01266983,0500000US46003,46003,Aurora,06,1834813753,11201379,"POLYGON ((-98.807771 43.935223, -98.331508 43.937708, -98.33154399999999 43.868189, -98.32524199999999 43.85105799999999, -98.320595 43.498651, -98.705782 43.499319, -98.79458799999999 43.499187, -98.796965 43.848575, -98.807771 43.935223))",POINT (-98.5605057741495 43.71757615992276),-98.5605057741495,43.717576159922764
2,55,035,01581077,0500000US55035,55035,Eau Claire,06,1652211310,18848512,"POLYGON ((-91.65045499999999 44.855951, -90.922247 44.857309, -90.92234999999999 44.596293, -91.043815 44.59664, -91.16561899999999 44.596987, -91.529101 44.596197, -91.65024799999999 44.596649, -91.65036099999999 44.683633, -91.65045499999999 44.855951))",POINT (-91.28609183386752 44.72661400163859),-91.28609183386752,44.726614001638595
3,72,145,01804553,0500000US72145,72145,Vega Baja,13,118766803,57805868,"POLYGON ((-66.448989 18.387214, -66.43895000739889 18.4814929092627, -66.42092099999999 18.488639, -66.34950332269131 18.4792143103093, -66.34773299999999 18.429537, -66.37705799999999 18.344246, -66.395585 18.371885, -66.44380000000001 18.371027, -66.448989 18.387214))",POINT (-66.39840061996379 18.42641444057773),-66.3984006199638,18.426414440577734
4,48,259,01383915,0500000US48259,48259,Kendall,06,1715747531,1496797,"POLYGON ((-98.920147 30.13829, -98.587897 30.138954, -98.414018 29.937557, -98.646124 29.745181, -98.652552 29.749865, -98.77878199999999 29.720167, -98.91772499999999 29.781398, -98.920147 30.13829))",POINT (-98.71135955694437 29.94566143682303),-98.71135955694437,29.945661436823034
5,40,015,01101795,0500000US40015,40015,Caddo,06,3310745124,30820525,"POLYGON ((-98.623149 35.551597, -98.31325099999999 35.551523, -98.306326 35.377239, -98.096014 35.377753, -98.09264499999999 34.854919, -98.619816 34.854953, -98.621054 35.097352, -98.61824 35.117174, -98.62333599999999 35.464225, -98.623149 35.551597))",POINT (-98.37534463834308 35.17364557445208),-98.37534463834308,35.17364557445208
6,19,093,00465235,0500000US19093,19093,Ida,06,1117599859,1406461,"POLYGON ((-95.74161099999999 42.561285, -95.38800999999999 42.561742, -95.387445 42.474796, -95.322357 42.474737, -95.32349699999999 42.210932, -95.670822 42.211408, -95.669265 42.474645, -95.741821 42.474865, -95.74161099999999 42.561285))",POINT (-95.51355387095936 42.38696136333127),-95.51355387095936,42.386961363331274
7,28,071,00695759,0500000US28071,28071,Lafayette,06,1636141755,123052156,"POLYGON ((-89.721341 34.554274, -89.668448 34.554367, -89.476642 34.554168, -89.424459 34.519129, -89.32581999999999 34.525974, -89.246133 34.495633, -89.24633899999999 34.379344, -89.245485 34.161186, -89.509748 34.162082, -89.50944 34.19096, -89.72104999999999 34.192545, -89.721341 34.554274))",POINT (-89.4849096100213 34.35687874421591),-89.4849096100213,34.35687874421591
8,12,027,00294452,0500000US12027,12027,DeSoto,06,1649978040,6247257,"POLYGON ((-82.05649699999999 27.207769, -82.055753 27.338264, -81.56369599999999 27.34068, -81.562202 27.033836, -81.98324199999999 27.03525, -82.057469 27.032119, -82.05649699999999 27.207769))",POINT (-81.80941373380176 27.1867789302738),-81.80941373380176,27.1867789302738
9,31,137,00835890,0500000US31137,31137,Phelps,06,1398048574,1646534,"POLYGON ((-99.643462 40.684911, -99.444401 40.677892, -99.417316 40.670825, -99.376036 40.664262, -99.179248 40.66054099999999, -99.17940299999999 40.350681, -99.630459 40.35112, -99.64220899999999 40.3512, -99.643462 40.684911))",POINT (-99.41465112614063 40.51151142277798),-99.41465112614063,40.51151142277798
10,26,143,01623014,0500000US26143,26143,Roscommon,06,1345852870,156421369,"POLYGON ((-84.85092899999999 44.511069, -84.370643 44.507223, -84.368039 44.160538, -84.608104 44.16048199999999, -84.851705 44.161375, -84.85092899999999 44.511069))",POINT (-84.61067651312344 44.33473082084372),-84.61067651312344,44.33473082084372
11,16,075,00394896,0500000US16075,16075,Payette,06,1053857317,8870732,"POLYGON ((-116.976024 43.895548, -116.959871 43.98292499999999, -116.937342 44.029376, -116.977351 44.085364, -116.897854677115 44.1526663953914, -116.452068 44.15146499999999, -116.452551 44.065414, -116.532117 44.066024, -116.572224 43.98048499999999, -116.712501 43.981326, -116.712672 43.807161, -116.853154 43.79271, -116.95452 43.836487, -116.98554503849 43.8811848528138, -116.976024 43.895548))",POINT (-116.7647694527537 44.00545243313907),-116.76476945275367,44.00545243313907
12,45,083,01248592,0500000US45083,45083,Spartanburg,06,2092597504,29211230,"POLYGON ((-82.2162487192291 35.1932585486532, -82.04839122964789 35.1896375433755, -82.03965099999999 35.189449, -81.96935840125759 35.18692708840049, -81.87411220431629 35.1835099080263, -81.80598499999999 35.055552, -81.75491099999999 34.932672, -81.71169399999999 34.912577, -81.78339 34.837125, -81.85400199999999 34.594549, -81.863275 34.580231, -82.07162099999999 34.704242, -82.14679199999999 34.785554, -82.165093 34.796587, -82.22653799999999 34.850531, -82.2162487192291 35.1932585486532))",POINT (-81.99225983741944 34.92960077109205),-81.99225983741944,34.92960077109205
13,36,009,00974103,0500000US36009,36009,Cattaraugus,06,3388637061,36604688,"POLYGON ((-79.060777 42.537853, -78.99170199999999 42.529249, -78.919766 42.442386, -78.695937 42.47194, -78.46393999999999 42.536332, -78.450447 42.519209, -78.30883899999999 42.521217, -78.3081289604466 41.9990711347414, -78.59665 41.999877, -78.9188573636152 41.9991031986894, -78.983065 41.998949, -79.0612644031599 41.99883810991101, -79.060777 42.537853))",POINT (-78.67918555993064 42.24784111156654),-78.67918555993064,42.247841111566544
