,Hydro,Exposure,Cause of Loss,Slope,Tau,pval,rho,rho_pval,r,r_pval,crop,cutoff
0,HighD+LowS,7.803793252733097,Drought,2.005,0.362,0.0,0.516,0.0,0.616,0.0,Maize,15
0,HighD+LowS,7.803793252733097,Rain/Flood,-0.174,-0.14,0.0,-0.208,0.0,-0.092,0.0,Maize,15
0,HighD+LowS,7.803793252733097,Heat,0.105,0.293,0.0,0.43,0.0,0.289,0.0,Maize,15
0,HighD+LowS,7.803793252733097,Disease,0.041,0.237,0.0,0.351,0.0,0.216,0.0,Maize,15
0,HighD+HighS,2.049121886076316,Drought,0.135,0.043,0.0,0.063,0.0,0.142,0.0,Maize,15
0,HighD+HighS,2.049121886076316,Rain/Flood,-0.066,-0.019,0.002,-0.027,0.002,0.046,0.0,Maize,15
0,HighD+HighS,2.049121886076316,Heat,0.012,0.033,0.003,0.049,0.003,0.098,0.0,Maize,15
0,HighD+HighS,2.049121886076316,Disease,0.058,0.129,0.0,0.188,0.0,0.299,0.0,Maize,15
0,LowD+HighS,4.860684712214194,Drought,-0.421,-0.142,0.0,-0.209,0.0,-0.18,0.0,Maize,15
0,LowD+HighS,4.860684712214194,Rain/Flood,0.902,0.191,0.0,0.28,0.0,0.182,0.0,Maize,15
0,LowD+HighS,4.860684712214194,Heat,-0.038,-0.104,0.0,-0.156,0.0,-0.085,0.0,Maize,15
0,LowD+HighS,4.860684712214194,Disease,-0.038,-0.158,0.0,-0.233,0.0,-0.157,0.0,Maize,15
0,HighD+LowS,10.436497597747561,Drought,5.877,0.381,0.0,0.545,0.0,0.529,0.0,Soybeans,15
0,HighD+LowS,10.436497597747561,Heat,0.192,0.26,0.0,0.383,0.0,0.23,0.0,Soybeans,15
0,HighD+LowS,10.436497597747561,Rain/Flood,-0.308,-0.095,0.0,-0.141,0.0,-0.078,0.0,Soybeans,15
0,HighD+LowS,10.436497597747561,Disease,-0.001,-0.004,0.793,-0.006,0.808,0.088,0.0,Soybeans,15
0,HighD+HighS,2.139327257857552,Drought,0.947,0.083,0.0,0.123,0.0,0.134,0.0,Soybeans,15
0,HighD+HighS,2.139327257857552,Heat,0.098,0.098,0.0,0.147,0.0,0.128,0.0,Soybeans,15
